"STATISTIC","Statistic","TLIST(A1)","Year","C03113V03763","Test Centre","UNIT","VALUE"
"ROA09","Waiting at Driver Testing Centres","2007","2007","14","Birr","Weeks","36"
"ROA09","Waiting at Driver Testing Centres","2007","2007","15","Castlebar","Weeks","21"
"ROA09","Waiting at Driver Testing Centres","2007","2007","16","Clifden","Weeks","40"
"ROA09","Waiting at Driver Testing Centres","2007","2007","17","Ennis","Weeks","30"
"ROA09","Waiting at Driver Testing Centres","2007","2007","18","Galway","Weeks","14"
"ROA09","Waiting at Driver Testing Centres","2007","2007","19","Loughrea","Weeks","29"
"ROA09","Waiting at Driver Testing Centres","2007","2007","20","Roscommon","Weeks","31"
"ROA09","Waiting at Driver Testing Centres","2007","2007","21","Tuam","Weeks","27"
"ROA09","Waiting at Driver Testing Centres","2007","2007","22","Ballina","Weeks","13"
"ROA09","Waiting at Driver Testing Centres","2007","2007","23","Buncrana","Weeks","13"
"ROA09","Waiting at Driver Testing Centres","2007","2007","24","Carrick-on-Shannon","Weeks","11"
"ROA09","Waiting at Driver Testing Centres","2007","2007","25","Cavan","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2007","2007","26","Donegal","Weeks","9"
"ROA09","Waiting at Driver Testing Centres","2007","2007","27","Letterkenny","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2007","2007","28","Longford","Weeks","11"
"ROA09","Waiting at Driver Testing Centres","2007","2007","29","Monaghan","Weeks","9"
"ROA09","Waiting at Driver Testing Centres","2007","2007","30","Sligo","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2007","2007","31","Carlow","Weeks","15"
"ROA09","Waiting at Driver Testing Centres","2007","2007","32","Clonmel","Weeks","15"
"ROA09","Waiting at Driver Testing Centres","2007","2007","33","Dungarvan","Weeks","14"
"ROA09","Waiting at Driver Testing Centres","2007","2007","34","Kilkenny","Weeks","16"
"ROA09","Waiting at Driver Testing Centres","2007","2007","35","Nenagh","Weeks","11"
"ROA09","Waiting at Driver Testing Centres","2007","2007","36","Portlaoise","Weeks","15"
"ROA09","Waiting at Driver Testing Centres","2007","2007","37","Thurles","Weeks","26"
